ticker,regime,return,win,reason,days_held,date_entry,date_exit,hurst_entrada,entropy_entrada,halflife_entrada,sinal_tipo,phase,window
BBDC4.SA,BEAR_CALM,0.09516905342072132,1,END_CLOSED,36,2023-10-03,2023-11-08,-1.5109882174411706,0.036815743509642694,27.500099994096423,PRICE,TRAIN,2023-05-08_2023-11-08
BEEF3.SA,BEAR_CALM,-0.05843908390750021,0,HARD_STOP,2,2023-08-29,2023-08-31,-1.2325883687964254,-3.4328562467928077,3.563825350053475,PRICE,TRAIN,2023-05-08_2023-11-08
BEEF3.SA,BEAR_VOLATILE,-0.03858325149671717,0,TIME_STOP,11,2023-09-11,2023-09-22,-0.48629369527572425,-2.8531348833908283,6.566216180055075,PRICE,TRAIN,2023-05-08_2023-11-08
BEEF3.SA,BEAR_CALM,-0.007334876000100209,0,TIME_STOP,12,2023-09-27,2023-10-09,-0.22279950703256488,-0.14877731405981048,14.688107472053689,PRICE,TRAIN,2023-05-08_2023-11-08
BEEF3.SA,BEAR_CALM,0.034279628934227625,1,END_CLOSED,12,2023-10-27,2023-11-08,-1.604834643706979,0.3586383385450324,24.250244057655387,PRICE,TRAIN,2023-05-08_2023-11-08
BRKM5.SA,BEAR_CALM,-0.005196454296556817,0,TIME_STOP,15,2023-08-29,2023-09-13,0.8357264071809153,-0.31958829031427766,23.89887304965656,PRICE,TRAIN,2023-05-08_2023-11-08
BRKM5.SA,SIDEWAYS_CALM,-0.05119999999999993,0,HARD_STOP,1,2023-09-19,2023-09-20,0.05146173154765166,-0.18082916077390254,8.855786757099946,PRICE,TRAIN,2023-05-08_2023-11-08
BRKM5.SA,BEAR_CALM,-0.05443743837137129,0,HARD_STOP,8,2023-09-25,2023-10-03,-0.9068794039351772,0.6076614254189912,11.077495839128002,PRICE,TRAIN,2023-05-08_2023-11-08
BRKM5.SA,BEAR_VOLATILE,-0.05177357691706432,0,HARD_STOP,11,2023-10-09,2023-10-20,-1.0036844028715357,0.06777387413885384,26.83806953763934,PRICE,TRAIN,2023-05-08_2023-11-08
BRKM5.SA,BEAR_CALM,-0.06235514909612629,0,HARD_STOP,5,2023-10-25,2023-10-30,-2.052600186271314,0.4369348760408312,34.30961849152067,PRICE,TRAIN,2023-05-08_2023-11-08
BRKM5.SA,BEAR_CALM,-0.026580646768706105,0,END_CLOSED,2,2023-11-06,2023-11-08,-0.8125922797372305,-0.7878258143378365,34.30961849152067,PRICE,TRAIN,2023-05-08_2023-11-08
COGN3.SA,BEAR_CALM,-0.017728849519339084,0,TIME_STOP,13,2023-10-17,2023-10-30,-1.7583708373714708,0.7992708435944101,34.30961849152067,PRICE,TRAIN,2023-05-08_2023-11-08
CSAN3.SA,BEAR_CALM,0.11005009216784631,1,BEAR_OPTIMIZED,11,2023-10-27,2023-11-07,-0.09696558600975584,1.1235771132932217,15.6813249423628,PRICE,TRAIN,2023-05-08_2023-11-08
CVCB3.SA,BEAR_CALM,-0.06624068428844845,0,HARD_STOP,3,2023-09-12,2023-09-15,0.9695605560368887,-0.6908710729637637,10.17262330350076,PRICE,TRAIN,2023-05-08_2023-11-08
CVCB3.SA,BEAR_CALM,-0.05536671219799074,0,HARD_STOP,1,2023-09-20,2023-09-21,-0.7687899084382294,-0.3761709792155317,15.045422581555098,PRICE,TRAIN,2023-05-08_2023-11-08
CVCB3.SA,BEAR_CALM,-0.0053666625274553445,0,STOP_TECNICO,7,2023-09-26,2023-10-03,-0.46403760292841556,-0.5657877841248892,9.8909034623848,PRICE,TRAIN,2023-05-08_2023-11-08
CVCB3.SA,BEAR_CALM,0.00880000000000001,1,STOP_TECNICO,1,2023-10-09,2023-10-10,-2.435300405730124,0.7086357569778667,7.139358855134975,PRICE,TRAIN,2023-05-08_2023-11-08
CVCB3.SA,BEAR_CALM,-0.051200000000000044,0,HARD_STOP,2,2023-10-11,2023-10-13,-1.0984963073813871,-1.214436564841702,6.233163618594762,PRICE,TRAIN,2023-05-08_2023-11-08
CVCB3.SA,BEAR_CALM,-0.056550587917333715,0,HARD_STOP,1,2023-10-18,2023-10-19,-1.948701466122449,-1.0287645841375335,5.051745736961061,PRICE,TRAIN,2023-05-08_2023-11-08
CVCB3.SA,BEAR_CALM,-0.051200000000000044,0,HARD_STOP,6,2023-10-24,2023-10-30,-0.618263620445829,-1.2629197315642269,4.054841990304951,PRICE,TRAIN,2023-05-08_2023-11-08
CVCB3.SA,SIDEWAYS_CALM,0.04964740831330814,1,END_CLOSED,2,2023-11-06,2023-11-08,-1.6298613452823865,-0.7259035312540519,4.198750127154688,PRICE,TRAIN,2023-05-08_2023-11-08
ELET3.SA,BEAR_CALM,-0.004869099523376684,0,TIME_STOP,14,2023-09-19,2023-10-03,-1.3605757849684699,-2.120369486589543,7.462348216639021,PRICE,TRAIN,2023-05-08_2023-11-08
ENEV3.SA,SIDEWAYS_CALM,-0.026798635403053404,0,TIME_STOP,12,2023-09-13,2023-09-25,-1.2767664580378921,-0.25004698603747116,5.389125026322995,PRICE,TRAIN,2023-05-08_2023-11-08
ENEV3.SA,SIDEWAYS_CALM,-0.051200000000000044,0,HARD_STOP,5,2023-10-11,2023-10-16,-1.0407708009154404,-1.4164964233539152,11.152965403987075,PRICE,TRAIN,2023-05-08_2023-11-08
FLRY3.SA,SIDEWAYS_CALM,0.043596541736825235,1,SIGNAL,11,2023-09-14,2023-09-25,0.23305241209428904,0.37645305879938046,13.29476843479996,PRICE,TRAIN,2023-05-08_2023-11-08
HYPE3.SA,BEAR_CALM,-0.025802371787126098,0,TIME_STOP,12,2023-09-27,2023-10-09,0.5808988984865363,-0.8946455685689791,34.30961849152067,PRICE,TRAIN,2023-05-08_2023-11-08
HYPE3.SA,BEAR_CALM,-0.09455230171081444,0,HARD_STOP,11,2023-10-16,2023-10-27,-1.8787848102417228,-0.7235309249934341,34.30961849152067,PRICE,TRAIN,2023-05-08_2023-11-08
HYPE3.SA,BEAR_VOLATILE,0.06290673549194511,1,END_CLOSED,7,2023-11-01,2023-11-08,-0.3427301985661785,-1.2557571274741977,34.30961849152067,PRICE,TRAIN,2023-05-08_2023-11-08
LREN3.SA,BEAR_CALM,-0.051200000000000044,0,HARD_STOP,2,2023-09-19,2023-09-21,-1.1485531841129888,-0.4939101650139934,23.370987445634892,PRICE,TRAIN,2023-05-08_2023-11-08
LWSA3.SA,BEAR_CALM,-0.05119999999999993,0,HARD_STOP,3,2023-10-17,2023-10-20,-1.34344457503841,-1.536690850541702,7.499312340491922,PRICE,TRAIN,2023-05-08_2023-11-08
LWSA3.SA,BEAR_CALM,-0.07140549789319231,0,HARD_STOP,5,2023-10-25,2023-10-30,-2.117189292786641,0.13762073679499076,8.740297164509713,PRICE,TRAIN,2023-05-08_2023-11-08
LWSA3.SA,SIDEWAYS_CALM,0.0481066882230917,1,END_CLOSED,2,2023-11-06,2023-11-08,-1.509740854763228,-1.751348344656776,5.580761154168016,PRICE,TRAIN,2023-05-08_2023-11-08
MGLU3.SA,BEAR_VOLATILE,-0.05706585786743292,0,HARD_STOP,1,2023-10-16,2023-10-17,-0.8010359124135474,0.543308991838202,1000.0,PRICE,TRAIN,2023-05-08_2023-11-08
MGLU3.SA,BEAR_VOLATILE,-0.0674251545076934,0,HARD_STOP,1,2023-10-23,2023-10-24,0.029240442577102482,0.4234357924600378,1000.0,PRICE,TRAIN,2023-05-08_2023-11-08
MGLU3.SA,BEAR_VOLATILE,0.00880000000000001,1,STOP_TECNICO,4,2023-10-30,2023-11-03,-1.745019822699723,0.7197227504202677,1000.0,PRICE,TRAIN,2023-05-08_2023-11-08
MGLU3.SA,BEAR_VOLATILE,0.004449621633784463,1,END_CLOSED,1,2023-11-07,2023-11-08,-0.7563525306790395,-0.9008303158709143,33.49885865077442,PRICE,TRAIN,2023-05-08_2023-11-08
MRVE3.SA,BEAR_VOLATILE,-0.08305838210628472,0,HARD_STOP,5,2023-10-13,2023-10-18,-0.2392555627645039,0.522165772468263,1000.0,PRICE,TRAIN,2023-05-08_2023-11-08
MRVE3.SA,BEAR_VOLATILE,-0.051200000000000044,0,HARD_STOP,7,2023-10-23,2023-10-30,-0.8022563126912183,-1.6321770844937207,34.30961849152067,PRICE,TRAIN,2023-05-08_2023-11-08
MRVE3.SA,BEAR_CALM,0.02531931116685158,1,END_CLOSED,2,2023-11-06,2023-11-08,-0.5690920690300284,-0.2988314228691207,19.064609017836894,PRICE,TRAIN,2023-05-08_2023-11-08
PCAR3.SA,BEAR_VOLATILE,-0.07034893380923204,0,HARD_STOP,2,2023-10-16,2023-10-18,0.3534357964723527,0.2087359226973063,29.54605304127548,PRICE,TRAIN,2023-05-08_2023-11-08
PCAR3.SA,BEAR_CALM,0.009298677809387625,1,END_CLOSED,2,2023-11-06,2023-11-08,-0.0812148499526533,0.3436135037533408,10.263124740114842,PRICE,TRAIN,2023-05-08_2023-11-08
RDOR3.SA,SIDEWAYS_CALM,-0.051200000000000044,0,HARD_STOP,2,2023-09-20,2023-09-22,0.9428155594321866,-1.391403029719608,34.30961849152067,PRICE,TRAIN,2023-05-08_2023-11-08
RDOR3.SA,BEAR_CALM,0.11140652775884549,1,END_CLOSED,14,2023-10-25,2023-11-08,0.4844316133767986,-0.0867292179302121,32.19332757431199,PRICE,TRAIN,2023-05-08_2023-11-08
RECV3.SA,BEAR_CALM,-0.051200000000000044,0,HARD_STOP,10,2023-09-25,2023-10-05,-1.7194179782500303,0.26194446391803006,6.236759389339871,PRICE,TRAIN,2023-05-08_2023-11-08
RENT3.SA,BEAR_VOLATILE,0.07188580392023333,1,END_CLOSED,16,2023-10-23,2023-11-08,-1.8500221055763835,0.6473705619765268,1000.0,PRICE,TRAIN,2023-05-08_2023-11-08
